Performance Report for ClaspAndSpread
Session Time,2025-08-24 16:18:55
Total Duration (s),175.54
Reps Completed,4/4
Overall Average Score,96.93

,Average Score by Repetition
repetition,score
1,96.79419278064545
2,95.32606802482735
3,97.80115455185607
4,97.82545084946611

,Average Score by Step (within Rep)
repetition,step,score
1,1,94.73115272796363
1,2,93.07281799915624
1,3,95.82792123856811
1,4,98.73080161211648
1,5,89.42647520395387
2,1,87.1919537215649
2,2,91.2020753237367
2,3,96.9740930998793
2,4,96.67689398093052
2,5,93.52788196056628
3,1,97.60072853102308
3,2,95.11554077399339
3,3,97.34003620257066
3,4,98.92918508619098
3,5,93.46031017134122
4,1,97.39192694363784
4,2,94.83859588750715
4,3,97.79222635493315
4,4,98.60990546167217
4,5,95.28374280914664
