Performance Report for ClaspAndSpread
Session Time,2025-08-25 11:06:46
Total Duration (s),172.03
Reps Completed,4/4
Overall Average Score,80.18

,Average Score by Repetition
repetition,score
1,90.86858321885317
2,86.29605561487666
3,78.56145627675097
4,65.12526990342555

,Average Score by Step
repetition,step,score
1,1,91.16524838181928
1,2,87.16774258189255
1,3,93.9522797764324
1,4,90.23458823276938
1,5,93.80483946276382
2,1,92.13474484256065
2,2,89.50122397824371
2,3,86.90788143411422
2,4,83.92415992507398
2,5,93.6220833989336
3,1,97.31307074126155
3,2,91.30914361008506
3,3,94.71718638817987
3,4,74.24115798091475
3,5,73.3703690756082
4,1,78.65363118265591
4,2,66.40966593305207
4,3,53.85967139081833
4,4,63.11448350987694
4,5,77.18919475844481
