Performance Report for ShoulderRoll
Session Time,2025-08-23 13:02:33
Total Duration (s),218.09
Reps Completed,4/4
Overall Average Score,91.34

,Average Score by Repetition
repetition,score
1,95.91587614989471
2,94.8288028515945
3,89.98390850470783
4,84.77920359283911

,Average Score by Step
repetition,step,score
1,1,96.58961688909531
1,2,98.28031386725169
1,3,94.19523897783834
2,1,84.03196148239475
2,2,94.8532136297524
2,3,97.77434439775622
3,1,91.29644255219452
3,2,89.09411471946507
3,3,90.16650731559336
4,1,82.20443213546822
4,2,86.10229091013467
4,3,84.67853285383157
